1.How many choices are possible when using a single if-else statement?,A.1,B.3,C.2,D.4,C.2
"2.How many ""else"" statements can you pair with a single ""if"" statement",A.1,B.<20,C.<10,D.As many as is needed,A.1
"3.How many ""else if"" links can you have in an ""if else if"" ladder?",A.<10,B.<30,C.<20,D.As many as is needed,D.As many as is needed
4.Which of these is used to add a third or fourth etc outcome to a scenario?,A.otherwise,B.if,C.else if,D.elsa,C.else if
5.Which of the following loops will execute the body of loop even when condition controlling the loop is initially false?,A.do-while,B.for,C.while,D.none of the mentioned,A.do-while
6.What is the data type that can be used with case statement in switch control structure?,A.The double data type,B.The char data type,C.The float data type,D.The String data type,B.The char data type
7.Which of the following for loops will be an infinite loop?,A.for(;;),B.for(i = 0; ;i++),C.for(i = 0;i < 1;i--),D.All of the above,D.All of the above
8.Which of these jump statements can skip processing remainder of code in its body for a particular iteration?,A.break,B.return,C.exit,D.continue,D.continue
9.What is true about a break?,A.Break stops the execution of entire program,B.Break halts the execution and forces the control out of the loop,C.Break forces the control out of the loop and starts the execution of next iteration,D.Break halts the execution of the loop for certain time frame,B.Break halts the execution and forces the control out of the loop
10.What is true about do statement?,A.do statement executes the code of a loop at least once,B.do statement does not get execute if condition is not matched in the first iteration,C.do statement checks the condition at the beginning of the loop,D.do statement executes the code more than once always,A.do statement executes the code of a loop at least once
